title,Bag_of_words
Midnight, paranormal vampires l.j.smith devil know help charming devious damon elena rescued vampire love stefan depth dark dimension neither brother returned unscathed weak long imprisonment need blood alone give strange magic turned human savage desperate anyth
Song Bird: Matters of the Heart, christinem.knight “ ’ mavis anymore .” year song bird nikki mill aka dreamed freedom lifestyle came platinum record artist get put career son first love life hold international singing sensation discovers reality different imagined determined caged
Thief, romance newadult tarrynfisher note selflove patient love kind boast brag arrogance never rude crude indecent self absorbed easily upset tally wrong trust hope endures matter become obsolete fight thiefcaleb drake got first marrie
Circle of Friends, fiction romance maevebinchy renéhuigen (translator) fransthomése (translator) big generous hearted benny elfin eve malone best friend growing sleepy knockglen one thought get dublin university freedom ... first day college inseparable pair thrown together fellow student nan mahon beautiful selfish handsome jack foley trouble brewing
Plague, youngadult sciencefiction michaelgrant eight month since adult disappeared gone survived hunger lie stake keep rising dystopian horror keep building yet despite simmering unrest left behind many battle power struggle angry divide momentary calm perdido beach enemy fayz fade away
The Bridge of San Luis Rey, fiction classics thorntonwilder beautiful new edition feature unpublished note novel illuminating documentary material included afterword tappan wilder friday noon july twentieth 1714 finest bridge peru broke precipitated five traveler gulf celebrated sentence thornton begin san
Pleasure Unbound, romance paranormalromance larissaione place ecstasy cost life demon slayer hunger sensual pleasure fear always denied tayla mancuso land hospital run demon disguise head doctor eidolon make body burn unslakable desire prove ultimate loyalty peer must betray surgeon saved h
The Amazing Maurice and His Educated Rodents, fantasy fiction terrypratchett maurice rat teamed young lad named keith implement clever moneymaking scheme upon entering town make general nuisance -- stealing food widdling thing townsfolk become desperate get rid appear scene offer save day ridding inf
Norse Mythology, fantasy fantasy neilgaiman neil gaiman long inspired ancient mythology creating fantastical realm fiction present bravura rendition norse god world origin though upheaval ragnarok stay true myth envisioning major pantheon odin highest high wise daring cunning thor
Bloodrose, youngadult fantasy andreacremer calla always welcomed war final battle upon stake fighting saving ren even incurs shay wrath keeping ansel safe branded traitor proving pack alpha facing unnamable horror ridding world keeper magic
These Broken Stars, youngadult sciencefiction amiekaufman meaganspooner night like board icarus catastrophe strike massive luxury spaceliner yanked hyperspace plummet nearest planet lilac laroux tarver merendsen survive seem alone daughter richest man universe come nothing young war hero learned long ago girl
What Alice Forgot, fiction womensfiction lianemoriarty alice love twenty nine crazy husband pregnant first child imagine ’ surprise come floor gym whisked hospital discovers honeymoon truly — getting divorced three kid actually 39 year old must reconstruct event lost decade find
Moving Pictures, fantasy fiction terrypratchett holy wood different sort place people act differently everywhere else important thing god money cattle thing might say reality quality posse way weight sadly alchemist never really held quaint notion think
Out Stealing Horses, fiction historical perpetterson anneborn (translator) going stealing horse said standing door cabin spending summer father fifteen 1948 one first day july trond ’ friend jon often appeared doorstep adventure mind two morning would turn different began joy ride
Ramonst, novels fiction a.f.knott hidden mountain east tennessee eleven year old go business boy summer 1970 within balance terror innocence bear silent witness ghost dead cruelty teenage killer local justice play community carved legacy coal mining religion
Fever 1793, historical historicalfiction lauriehalseanderson late summer 1793 street philadelphia abuzz mosquito rumor fever near dock many taken ill fatality mounting include polly serving girl cook coffeehouse fourteen year old mattie get moment mourn passing childhood playmate new customer overrun
Entwined, fantasy youngadult heatherdixonwallwork azalea feel everything — beautiful gown dashing suitor ball filled dancing taken away trapped keeper understands held century within wall palace extends invitation every night eleven sister may step enchanted passage
Summer Knight, fantasy fantasy jimbutcher 1st printing edition isbn see harry dresden -- wizardlost item found paranormal investigation consulting advice reasonable rate love potion endless purse entertainmentever since girlfriend left town deal newly acquired taste blood chicago pay rent al
The Sheltering Sky, fiction classics paulbowles classic work psychological terror paul bowles examines way american apprehend alien culture -- incomprehension destroys story three american traveler adrift city desert north africa sheltering sky merciless heartbreaking compassion etches limit huma
On Beauty, fiction contemporary zadiesmith howard belsey rembrandt scholar like englishman abroad long suffering professor wellington liberal new england art college married thirty year kiki american woman longer resembles sexy activist three child passionately pursue path levi quest authentic
The Enchantress Returns, fantasy childrens chriscolfer brandondorman (illustrator) decade hiding evil enchantress cursed sleeping beauty back vengeance alex conner bailey magical land story since adventure wishing spell ended one night learn famed kidnapped mother grandmother twin must find way
A Raisin in the Sun," plays classics lorrainehansberry never entire history american theater much truth black people life seen stage ,"" observed james baldwin shortly raisin sun opened broadway 1959 indeed lorraine hansberry award winning drama hope aspiration struggling working class family living south side chicago"
Is Everyone Hanging Out Without Me? (And Other Concerns), nonfiction autobiography mindykaling length 4 hr 37 minsmindy kaling lived many life obedient child immigrant professional timid chubster afraid bike ben affleck impersonating broadway performer playwright finally comedy writer actress prone starting fight friend coworkers sentence say one last thing
Walden & Civil Disobedience, classics philosophy henrydavidthoreau w.s.merwin (introduction) henry david thoreau masterwork walden collection reflection life society simple profound musing — well civil disobedience protest government interference liberty inspired many embrace philosophy individualism love nature
Millennium Approaches, plays drama tonykushner angel america play two part american playwright tony kushner complex often metaphorical time symbolic examination aid homosexuality 1980s certain major minor character supernatural being deceased person ghost ). contains multiple role several actor initially
Midnight Awakening, romance paranormalromance laraadrian dagger hand vengeance mind darkhaven beauty elise chase prowl boston ’ street search retribution rogue vampire took everything cherished using extraordinary psychic gift track prey well aware power posse destroying must learn harness ca
Fierce Invalids Home from Hot Climates," fiction humor tomrobbins clever witty novel anyone written long time robbins take reader wild delightful ride delight beginning end ."" -- buffalo newsswitters contradiction season anarchist work government pacifist carry gun vegetarian sop ham gravy cyberwhiz hate computer man th"
Women Who Run With the Wolves: Myths and Stories of the Wild Woman Archetype," nonfiction feminism clarissapinkolaestés within every woman wild natural creature powerful force filled good instinct passionate creativity ageless knowing name endangered specie clarissa pinkola estes ph ., jungian analyst cantadora storyteller show woman vitality restored call psychic archeological dig"
The Bloody Chamber and Other Stories, shortstories fantasy angelacarter angela carter storytelling sorceress literary godmother neil gaiman david mitchell audrey niffenegger j k rowling kelly link contemporary master supernatural fiction masterpiece bloody chamber — includes story basis jordan ’ 1984 movie company wolf spin subversively dark sensual v
Going Too Far, youngadult romance jenniferechols far would go meg ever wanted get away high school backwater town parent seem determined keep imprisoned dead end life one crazy evening involving dare forbidden railroad track go way ... almost make back john made choice stay enforce r
Demon from the Dark, romance paranormalromance kresleycole alternate cover isbn http :// www goodreads com book show 3 ... new york time bestselling author kresley cole come scorching tale demon outcast poisoned vampire blood vulnerable young witch vow protect even dangerous resist malkom slaine tormented sordid past racked vampiri
Homeland, fantasy dungeonsanddragons r.a.salvatore drow ranger drizzt urden first introduced icewind dale trilogy quickly became one fantasy genre standout character homeland reveals startling tale lone walked shadowy depth underdark leaving behind society evil family want dead story amazing dark el
Sundays at Tiffany's, romance fiction jamespatterson gabriellecharbonnet little girl jane one mother powerful head broadway theater company time friend handsome comforting funny man named michael see year later thirty alone ever meet smart perfect remembers
Shades of Grey, fantasy fiction jasperfforde shade grey tell battle overwhelming odds society ability see higher end color spectrum denotes better social standing eddie russet belongs low level house red — sky grass everything must colorized artificial mean
Betrayal of Justice," fiction drama markm.bello topical controversial prophetic novel set washington c dearborn michigan ., newly elected president promise inaugural speech “ make america pure .” young muslim woman arya khan watch john ’ acceptance horror mile away white supremacist keit"
Storm Born, fantasy urbanfantasy richellemead typical love life speak month every horny creature otherworld want get pant ... eugenie markham powerful shaman brisk trade banishing spirit fey cross mortal world mercenary yes girl got eat recent case however enough ruin appetite hired find
Pinocchio," classics fantasy carlocollodi johnboyne (introduction) gioiafiammenghi (translator) classic tale mischance mischief based original adventure naughty wooden puppet get trouble disobeys father forgets pomises skip life looking fun like real boy ."" learns become truly must open heart think others"
Eona: The Last Dragoneye, fantasy youngadult alisongoodman eon revealed eona first female dragoneye hundred year along fellow rebel ryko lady dela run high lord sethon army renegade quest black folio stolen drug riddled dillon must also find kygo young pearl emperor need power wrest back
The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror, classics horror robertlouisstevenson robertmighall (editor) strange case dr jekyll mr hyde stevenson famous exploration humanity basest capacity evil become synonymous idea split personality moral tale dark psychological fantasy also product time drawing contemporary theory class evolution criminality secret life volume
Vanishing Acts, fiction contemporary jodipicoult delia hopkins led charmed life raised rural new hampshire widowed father andrew young daughter handsome fiance search rescue bloodhound us find missing person plan wedding plagued flashback recall policeman knock door revealing sec
An Inquiry into the Nature and Causes of the Wealth of Nations, economics nonfiction adamsmith adam smith masterpiece first published 1776 foundation modern economic thought remains single important account rise principle behind capitalism written clear incisive prose wealth nation articulates concept indispensable understanding contemporary society robert reich introduct
The Slippery Slope, fiction youngadult lemonysnicket bretthelquist (illustrator) dear reader like handshake house pet raw carrot many thing preferable slippery unfortunately miserable volume afraid violet klaus sunny baudelaire run fair share slipperiness harrowing journey -- range strange distressing mountain order spare furthe
Froi of the Exiles, fantasy youngadult melinamarchetta blood sings froi born last make first charyn barren three year curse lumatere lifted found home ... belief fiercely loyal queen finnikin trained roughly lovingly guard sworn protect royal family learned control
The Kindly Ones," fiction historical jonathanlittell charlottemandell (translator) named one 100 best book decade time london oh human brother let tell happened ."" former nazi officer dr maximilien aue reinvented many year war middle class family man factory owner france intellectual steeped philosophy literature classical music also cold"
Confessions of an Ugly Stepsister, fantasy fantasy gregorymaguire heard story cinderella beautiful child cast slave among ash stepsister homely pair exiled ignominy fame lovely sibling fate befell untouched beauty ... curse accompanied look set backdrop seventeenth century holland confession ugly
Kiss of Crimson, romance paranormalromance laraadrian come dead alive towering black clad stranger riddled bullet rapidly losing blood struggle save veterinarian te culver unaware man calling dante one breed vampire warrior engaged desperate battle single erotically charged moment plunged world
The Hollow, youngadult fantasy jessicaverday love like ... abbey best friend kristen vanishes bridge near sleepy hollow cemetery everyone else quick accept dead rumor fly death accident go motion mourning privately refuse believe really gone meet caspian
True Grit, fiction westerns charlesportis 1870s young mattie ross learns beloved father gunned former handyman even though gutsy 14 year old seeking vengeance smart enough figure go alone desperado holed indian territory fast talking convinces mean one eyed u marshal rooster cogburn going
Thunderhead, youngadult fantasy nealshusterman rowan gone rogue taken upon put scythedom trial fire literally year since winter conclave grid striking corrupt scythe — midmerica across entire continent dark folk hero —“ scythe lucifer ”— vigilante taking flame citra
Hourglass, youngadult paranormal claudiagray bianca risk everything lucas escaping evernight academy vampire boarding school met take refuge black cross fanatical group hunter must hide supernatural heritage certain death hand capture friend — balthazar hiding lo
Relic, horror thriller douglaspreston lincolnchild day massive exhibition open popular new york museum natural history visitor savagely murdered dark hallway secret room autopsy indicate killer cannot human ... director plan go ahead big bash celebrate spite murder researcher margo g
The Elementary Particles, fiction cultural michelhouellebecq frankwynne (translator) international literary phenomenon elementary particle frighteningly original novel – part marguerite dura bret easton elli leap headlong malaise contemporary existence bruno michel half brother abandoned mother unabashed devotee drugged free love world sixty older become r
In a Sunburned Country, travel nonfiction billbryson classic new york time bestselling author one summer every time bill bryson walk door memorable travel literature threatens break previous excursion along appalachian trail resulted sublime national bestseller walk wood sunburned country report found entirely different place australia
The Autobiography of Malcolm X, nonfiction biography malcolmx alexhaley alternate cover isbn 9780345350688through life passion struggle malcolm x became one influential figure 20th century riveting account tell journey prison cell mecca describing transition hoodlum muslim minister man called angriest black america relates
The Slow Regard of Silent Things, fantasy fiction patrickrothfuss natetaylor (illustrator) deep university dark place people know broken web ancient passageway abandoned room young woman life tucked among sprawling tunnel underthing snug heart forgotten name auri full mystery slow regard silent thing brief bittersweet glimpse ’
Bridget Jones: The Edge of Reason," womensfiction chicklit helenfielding lurching cappuccino bar notting hill blissed shore thailand bridget jones search truth spite pathetically unevolved men insane dating theory smug married advice (""' calling say potty well daddy hand !'""). experience zeitgeist esque spiritual epiphany somewhere betw"
The 48 Laws of Power," nonfiction psychology robertgreene joostelffers (producer) amoral cunning ruthless instructive multi million copy new york time bestseller definitive manual anyone interested gaining observing defending ultimate control – author law human nature book people magazine proclaimed “ beguiling ” fascinating ,” robert greene joost elffers distilled three"
Piercing," horror fiction ryūmurakami ralphmccarthy (translator) pulsating psycho thriller ryu murakami author miso soupa renaissance man postmodern age — musician filmmaker tokyo decadence ), tv personality award winning gained cult following west first novel almost transparent blue japan ’ coveted literary prize sold million copy mo"
Einstein's Dreams, fiction shortstories alanlightman modern classic einstein ’ dream fictional collage story dreamed albert 1905 worked patent office switzerland defiant sensitive young genius creating theory relativity new conception time imago many possible world one circular people fated repeat triumph failu
Death in Venice and Other Tales," fiction classics thomasmann joachimneugroschel (translator) featuring world famous masterpiece death venice ,"" new collection nobel laureate thomas mann story novella reveals artistic evolution widely acclaimed translation restores controversial passage cut original english version tell ruinous quest love beauty amid degene"
Men at Arms," fantasy fiction terrypratchett hard pulling sword stone real work already done ought make useful find man put first place city watch need men got includes corporal carrot technically dwarf ), lance constable cuddy really detritus troll"
The Darkest Hour," fantasy animals erinhunter thunderclan darkest hour upon tigerstar quest power plunge clan terrible danger cat ever faced order save clan friend fireheart must uncover meaning ominous proclamation starclan :"" four become two lion tiger meet battle blood rule forest time come"
Raised by Wolves, youngadult shapeshifters jenniferlynnbarnes adopted alpha werewolf pack rogue wolf brutally killed parent right eye fifteen year old bryn know life rigid social hierarchy control mean averse breaking rule two curiosity get better discovers chase new teen locked cage g
The Island of Dr. Moreau, classics sciencefiction h.g.wells alanlightman (introduction) librarian note alternative cover isbn found ranked among classic novel english language inspiration several unforgettable movie early work h g well greeted 1896 howl protest reviewer horrifying blasphemous wanted know wondrous possibility science
"Everything Is Always Gonna Be Alright, Durban Frankenshooze", fiction contemporary jamiemchone durban bird giant sneaker wing small fly tired made fun flying bird set journey find really along way meet maudry smart sassy female wainwright grumpy worm short temper together unusual trio go thick thin disco
The Robe, historical historicalfiction lloydc.douglas roman soldier marcellus win christ robe gambling prize set forth quest find truth nazarene reach root heart christianity set vividly limned background ancient rome timeless story adventure faith romance tale spiritual longing ultimate
The Maze of Bones, mystery adventure rickriordan beloved aunt -- matriarch world powerful family dy orphaned sibling amy dan cahill compete le honorable descendant race around find cryptic clue mysterious fortune book includes game card reader may use play online version treasure hunt
God Emperor of Dune, sciencefiction fiction frankherbert book four frank herbert magnificent dune chronicle -- one significant saga history literary science fiction millennium passed arrakis desert planet green life leto atreides son world savior emperor paul muad dib still alive far human preserve humanity future sacrificed ow
Audition, horror fiction ryūmurakami ralphmccarthy (translator) documentary maker aoyama dated anyone seven year since death beloved wife ryoko even teenage son shige suggested think remarrying best friend yoshikawa come plan hold fake film audition choose new bride decides go along idea
Blood And Gold," paranormal vampires annerice gorgeous sinister story marius patrician birth scholar choice one oldest vampire sweep genesis ancient rome time emperor augustus meeting present day creature snow ice thorne northern vampire search maharet maker ', egyptian q"
The Reluctant Fundamentalist, fiction contemporary mohsinhamid café table lahore bearded pakistani man converse uneasy american stranger dusk deepens night begin tale brought fateful encounter … changez living immigrant dream america top class princeton snapped elite valuation firm thrives energy new york budding
My Man Jeeves," fiction humor p.g.wodehouse forget beloved gentleman personal jeeves ever come rescue hapless bertie wooster fall trouble man sure please anyone taste pithy buffoonery moronic misunderstanding gaffe aristocratic slapstick content :"" leave """" unbidden guest hard boiled eg"
Everlost, fantasy youngadult nealshusterman nick allie survive car accident ... soul exactly get supposed either instead caught halfway life death sort limbo known everlost shadow living world filled thing place longer exist magical yet dangerous place band lost child r
Night Embrace, romance paranormalromance sherrilynkenyon ancient celtic warrior cursed god bring death woman love talon seductive vampire prowl night serving protector innocent modern day new orleans runaway mardi gras float brings face withthe outrageous sunshine runningwolf
Gone for Good, mystery thriller harlancoben boy klein hero older brother ken warm suburban night klein affluent new jersey neighborhood young woman -- girl loved found brutally murdered family basement prime suspect evidence overwhelming simply vanished shattered never heard
The Drowned World, sciencefiction fiction j.g.ballard martinamis (introduction) first published 1962 j g ballard mesmerizing ferociously prescient novel imago terrifying future solar radiation global warming melted polar ice cap triassic era jungle overrun submerged tropical london set year 2145 follows biologist dr robert kerans team scientist confront
Queen of Air and Darkness, fantasy youngadult cassandraclare damnation price true love innocent blood spilled step council hall sacred stronghold shadowhunters wake tragic death livia blackthorn clave teeter brink civil war one fragment family flees los angeles seeking discover source disease destroyin
The Two Princesses of Bamarre, fantasy youngadult gailcarsonlevine twelve year old addie admires older sister meryl aspires rid kingdom bamarre gryphon specter ogre hand fearful even spider depends courage protection waving sword bloodbiter girl declaims garden heroic epic drualt thrilled audience govern
Hannibal Rising, horror fiction thomasharris one haunting charactersin literature last evolution evilis revealed hannibal lecter emerges nightmare eastern front boy snow mute chain around neck seems utterly alone brought demon ’ uncle noted painter find soviet orphanage brings
March, historical historicalfiction geraldinebrooks winner 2006 pulitzer prize fiction author acclaimed year wonder historical novel love story set time catastrophe front line american civil war geraldine brook give u absent father louisa may alcott little woman — conjures world brutality stubborn courage
I Hunt Killers, youngadult mystery barrylyga world worst serial killer ... dad jasper jazz dent likable teenager charmer one might say also son infamous dear old take work day year round witnessed crime scene way cop wish could — criminal point view body piling
Dragon Slippers, fantasy fantasy jessicadaygeorge poor creel believe aunt want sacrifice local dragon ploy lure heroic knight fight marry chivalrous obligation lift entire family poverty worried nobody seen century beast actually appears bargain h
Never Never, romance youngadult colleenhoover tarrynfisher charlie wynwood silas nash best friend since could walk love age fourteen morning ... complete stranger first kiss fight moment fell every memory vanished must work together uncover truth happened
Midnight Exposure, romance romanticsuspense melindaleigh first suspenseful thriller midnight series wall street journal bestselling author melinda leigh point click die two hiker disappear hometown maine blame blinding storm truth far sinister unaware danger tabloid photographer jayne sullivan follows anonymous tip find reclusive sculptor art
And Come Day's End: A Michael McKaybees Mystery, drama fiction gabrielf.w.koch lenny oliver ’ secret ended life — lie dressed detailed occasionally elaborate finery secret holder fooled long run discovered dark alley wall street neighborhood michael mckaybees private investigator working new york five borough specializes money crime like insurance fraud occas
Into the Wilderness, historical historicalfiction saradonati weaving tapestry fact fiction sara donati epic novel sweep u another time place ... heart forbidden affair unconventional englishwoman american frontiersman december 1792 elizabeth middleton leaf comfortable english estate join family remote new york mountain village unlike
Burial Rites, historical historicalfiction hannahkent brilliant literary debut inspired true story final day young woman accused murder iceland 1829 set stark landscape hannah kent brings vivid life agnes charged brutal former master sent isolated farm await execution horrified prospect housing convicted murd
The City & the City, fantasy fiction chinamiéville murdered woman found city beszel somewhere edge europe look routine case inspector tyador borlú extreme crime squad investigates evidence point conspiracy far stranger deadly anything could imagined must travel decaying metropolis earth
The Ways of Autumn, epic contemporary williamgraney misty sea spray caressing catherine face portends unclear path ahead contemplates beginning new life california ten year journey include relationship trek highest summit contiguous united state poignant hospice experience challenge rise ash despair decides l
Homo Deus: A History of Tomorrow, nonfiction history yuvalnoahharari yuval noah harari author critically acclaimed new york time bestseller international phenomenon sapiens return equally original compelling provocative book turning focus toward humanity ’ future quest upgrade human god past century humankind managed impossible rein famine plague war
Casanova and the Devil's Doorbell, contemporary novels harryf.macdonald forget everything thought knew world ’ greatest lover … history record casanova completed twelve volume memoir settled castle dux bohemia live senior year disgraceful largely undeserved style discovery devil doorbell written late valet jacques del rosso th
To Dream the Blackbane, fiction contemporary richardj.o'brien cosmic event 2015 fused earth faerie realm scientist referred anomaly byproduct advent hybrid being — people became mixed whatever animal object closest moment occurred human pedigree soon relegated fairy refugee hybrid ghetto zone large city seven
The Transfer," youngadult sciencefiction veronicaroth complete divergent library four story fan series 1 new york time bestselling author veronica roth captivated transfer ,"" first fifty seventy five page long set world told tobias perspective reader witness aptitude"
The Boxcar Children, childrens fiction gertrudechandlerwarner l.katedeal (illustrator) aldens begin adventure making home boxcar goal stay together process find grandfather
Brooklyn, fiction historical colmtóibín hauntingly beautiful heartbreaking colm tóibín sixth novel brooklyn set ireland early 1950s one young woman cross ocean make new life eilis lacey come age small town year following world war two though skilled bookkeeping cannot find job miserable irish economy
The Sound of Suffering, bookclub fiction darinc.brown hunter miller secret read manipulate aura surround everyone used talent dethrone reigning school bully thirteen year old find thrust new quest hearing scream aura teacher unable resist powerful siren song investigates — despite warning family friend nearly
Homegoing, historical historicalfiction yaagyasi alternate cover edition found novel breathtaking sweep emotional power trace three hundred year ghana along way also becomes truly great american extraordinary exquisite language implacable sorrow soaring beauty monumental portrait force shape family nation homegoing hera
Radiant Shadows, youngadult fantasy melissamarr alluring romance heart stopping danger sinister intrigue combine penultimate volume melissa marr 1 new york time bestselling wicked lovely series half human faery ani driven hunger appetite also attract powerful enemy uncertain ally including devlin created assassin brother faery c
Purple Hibiscus, fiction cultural chimamandangoziadichie previously published edition isbn 9781616202415 found fifteen year old kambili older brother jaja lead privileged life enugu nigeria live beautiful house caring family attend exclusive missionary school completely shielded trouble world yet reveals tender voiced account
My Wolf's Bane, shapeshifters werewolves veronicablade note publisher veronica blade book romance novel meaning first everything else secondary rated pg 13 sexual situation mild profanity different specie mortal enemy never work die trying autumn rossi thought normal teenager suddenly outrun every critter forest
Tropic of Capricorn, fiction classics henrymiller banned america almost thirty year explicit sexual content companion volume miller tropic cancer chronicle life 1920s new york city famous frank portrayal brooklyn ethnic neighborhood outrageous exploit capricorn considered cornerstone modern literature
The Largesse of the Sea Maiden, shortstories fiction denisjohnson largesse sea maiden long awaited new story collection denis johnson follows groundbreaking highly acclaimed jesus ’ son written luminous prose find territory contemplating old age mortality ghost past elusive unexpected way mystery universe assert themselv
Aztec, historical historicalfiction garyjennings aztec extraordinary story last greatest native civilization north america told word one robust memorable character modern fiction mixtli dark cloud reveals depth peak feather banner splendor capital tenochtitlan arrival hernán cortes c
Suvashun, novels fiction simindaneshvar joaquínrodríguezvargas (translator) considerada una obra maestra esta novela supuso el reconocimiento de simin daneshvar como autora indispensable la moderna literatura persa reeditada en numerosas ocasiones suvashun fue valiente primera escrita por mujer iraní narrada su protagonista femenina ambientada irán segunda guerra mundial durante ocupación los
Bestowed, cultural india snehlataagarwala bestowed story rudra arya friendship love betrayal obsession stranger remember meeting knew seem familiar attracted day visited ’ house wanted take arm tell eve
Believing Christ: The Parable of the Bicycle and Other Good News," religion christianity stephene.robinson author stephen robinson illustrates power savior us analogy parable bicycle story scripture personal experience moving best selling book “ mortal finite liability ,” explains jesus unlimited asset .” merging two exaltation come long progress degree lord wil"
Homage to Catalonia, history nonfiction georgeorwell lioneltrilling (introduction) 1936 george orwell travelled spain report civil war instead joined fight fascist famous account describes ’ experience introduction lionel trilling
Illusions," fantasy youngadult aprilynnepike patrol go hunting stick close live life keep safe ,"" tamani said sweeping lock hair face die trying laurel seen since begged let last year though heart still ache confident david right choice return normal r"
Frisk," fiction lgbt denniscooper cooper say present actual act evil visible give bunch facet actually look experience seduced dealing ... frisk whatever pleasure got making picture mind based people murdered take responsibility ."" unsparingly confessional mode"
The Complete Wreck, fiction youngadult lemonysnicket bretthelquist (illustrations) netflix original seriessome box never opened first time complete series unfortunate event available one awful package keep succumbing international bestselling phenomenon hide thirteen book huge elaborately illustrated shrink wrapped box perfect filling empty shelf deep
The Myth of Sisyphus and Other Essays, philosophy nonfiction albertcamus justino'brien (translator) one influential work century crucial exposition existentialist thought influenced juan novel kafka essay begin meditation suicide question living absurd universe devoid order meaning lyric eloquence camus posit way despair reaffirming
The Art of Fielding, fiction sports chadharbach westish college small school shore lake michigan baseball star henry skrimshander seems destined big league stardom routine throw go disastrously course fate five people upended fight self doubt threatens ruin future president guert affenlight longtime bachelor fallen unexpectedly
Best Served Cold, fantasy fiction joeabercrombie springtime styria mean war revenge nineteen year blood ruthless grand duke orso locked vicious struggle squabbling league eight bled land white army march head roll city burn behind scene banker priest older darker
Grey, romance adultfiction e.l.james christian grey exercise control thing world neat disciplined utterly empty — day anastasia steele fall office tangle shapely limb tumbling brown hair try forget instead swept storm emotion cannot comprehend resist unlike woman known shy unworldly
Heir to the Empire, mediatiein starwars timothyzahn alternate cover edition found time renewal five year destruction death star defeat darth vader empire war seemingly strain beginning show rebel alliance new challenge galactic peace arisen luke skywalker hears voice past warning beware th
A Fraction of the Whole, fiction cultural stevetoltz irreverent comic adventure spanning three continent father son world life jasper dean ’ decide whether pity hate love murder certifiably paranoid martin man overanalyzed anything everything imparted self garnered wisdom
Magic's Pawn, fantasy fiction mercedeslackey mage craft — though vanyel born near legendary ability work herald magic want part thing seek warrior path wishing instead become bard yet talent left untrained may prove menace others well sent fostered aunt savil one fame
Dare Me," fiction youngadult meganabbott tense dark beautifully written gillian flynn ), novel friendship betrayal edgar award winning author harrowing glimpse heart american girl addy hanlon always beth cassidy best friend trusted lieutenant call shot carry long established order thing brought"
This is Where I Leave You, fiction humor jonathantropper riotously funny emotionally raw new york time bestselling novel love marriage divorce family tie bind — whether like death judd foxman ’ father mark first time entire clan congregated year however one conspicuous absence wife jen whose affair radio shock jock bos
Nobody Move, fiction thriller denisjohnson national book award – winning bestselling author tree smoke come provocative thriller set american west nobody move first appeared page playboy story assortment lowlife bakersfield california cat mouse game 2 3 million touched echo raymond chandler dashiell hammett mo
Welcome to the Monkey House, fiction shortstories kurtvonnegutjr. куртвоннегут welcome monkey house collection kurt vonnegut ’ shorter work originally printed publication diverse magazine fantasy science fiction atlantic monthly superb story share audacious sense humor extraordinary range creative vision alternative cover edition
The Merchant of Death, fantasy youngadult d.j.machale librarian note alternate cover isbn found heredenduronbobby pendragon seemingly normal fourteen year old boy family home even marley beloved dog something special bobby going save world earth know slowly starting realize life cosmos quite
"Dancing with The Field: Bringing Joy, Passion and Play into Everyday Life", epic contemporary kriskelkar found life stuck rut want experience joy passion play everyday help book million people world unending repetition drudgery show sign ever ceasing happen anywhere anyone caught cycle simply exist
Secrets of the Realm, historical historicalfiction bevstout blamed uncle death fifteen year old annie run knowing peril face street eighteenth century london disguise boy life cut short becomes captain hawke ’ cabin must work alongside realm motley crew outcast gentleman also keep superst
My Grandmother Asked Me to Tell You She's Sorry, fiction contemporary fredrikbackman henningkoch (translator) elsa seven year old different grandmother seventy crazy standing balcony firing paintball gun men want talk jesus also best friend night take refuge story land almost awake kingdom miamas everybody nobody
The Chronicle of Sapta Sindhu, war cultural aporvakala book perhaps india first proto historical novel tell u tale people indus valley adjoining city story sapta sindhu untie face challenge natural disaster greek invasion year 950bc wonderful valor adventure faith love romance war peace rudreeshwar
Finding Cinderella, romance newadult colleenhoover chance encounter dark lead eighteen year old daniel girl stumble across profess love condition agree last one hour make believe rush like cinderella try convince happened seemed p
The Room, fiction horror hubertselbyjr. secluded remand cell small time criminal surrender sadistic fantasy hatred revenge selby second novel claustrophobic descent tormented soul man trapped loveless society
The Lost World, classics sciencefiction arthurconandoyle london 1907 journalist edward malone rejected woman love prosaic decides go search adventure fame prove worthy soon meet professor george challenger scientist claim discovered lost world populated pterodactyl prehistoric monster
Anne's House of Dreams, classics fiction l.m.montgomery anne true love gilbert blythe finally doctor sunshine old orchard among dearest friend speak vow soon happy couple bound new life together dream house misty purple shore four wind harbor mean fresh problem solve surprise
Children of the Mind, sciencefiction fiction orsonscottcard child mind 1996 fourth novel orson scott card popular ender game series science fiction novel focus character wiggin book originally second half xenocide split two start jane evolved computer intelligence using newly discovered ability
The Rose Society, fantasy youngadult marielu upon time girl father prince society friend betrayed destroyed adelina amouteru ’ heart suffered hand family turning bitter path revenge known feared white wolf flees kenettra sister find young elite hope building
The Sorceress, fantasy youngadult michaelscott book three new york time bestselling series nicholas flamel heart almost broke watched beloved paris crumble city destroyed dee machiavelli played role destruction sophie josh newman show every sign twin prophecy protect page dark elder
Fool Moon, fantasy fantasy jimbutcher harry dresden -- wizardlost item found paranormal investigation consulting advice reasonable rate love potion endless purse entertainment business slow okay dead even undead variety would think chicago little action professional wizard phone book lately
The Sympathizer, fiction historical vietthanhnguyen april 1975 saigon chaos villa general south vietnamese army drinking whiskey help trusted captain drawing list given passage aboard last flight country compatriot start new life los angeles unaware one among number se
A Constellation of Vital Phenomena, fiction historical anthonymarra brilliant debut novel brings life abandoned hospital tough minded doctor decides harbor hunted young girl powerful consequence final day december 2004 small rural village chechnya eight year old havaa hide wood father abducted russian force fearing flees neighbor ak
